Year,Month,Day,Open,High,Low,Close,Volume,Adjusted,Rolling_Mean,Standard_dev,upper,lower,indicator
2010,8,4,492.18,507,491.05,506.32,3812500,506.32,482.827,12.3931318416,495.2201318416,470.4338681584,1.8956467421
2010,8,3,490.5,492.46,486.76,489.83,1802300,489.83,480.021,13.1255716266,493.1465716267,466.8954283734,0.7473198333
2010,8,2,488.99,493.28,486.94,490.41,1858700,490.41,477.333,16.1641237248,493.4971237248,461.1688762752,0.8090138521
2010,7,30,479.65,487.36,479.14,484.85,2144100,484.85,474.64,18.2259202352,492.8659202352,456.4140797648,0.560191193
2010,7,29,485.95,488.88,479.33,484.99,2675500,484.99,472.372,19.6547853019,492.0267853019,452.7172146981,0.641981065
2010,7,28,494.94,495.25,482.67,484.35,2496000,484.35,470.37,20.3295134174,490.6995134174,450.0404865826,0.6876701726
2010,7,27,490.58,497.5,490.17,492.63,2451200,492.63,468.8655,20.3538622935,489.2193622935,448.5116377065,1.1675671014
2010,7,26,489.09,490.75,484.88,488.97,1995200,488.97,467.838,19.5956237327,487.4336237327,448.2423762673,1.0784040502
2010,7,23,480.77,490.59,480.01,490.06,2264400,490.06,467.0235,19.0005488217,486.0240488217,448.0229511783,1.2124123475
2010,7,22,483.23,488.98,482.48,484.81,2147700,484.81,466.2755,18.3285163137,484.6040163137,447.9469836863,1.0112384267
2010,7,21,484,485.7,475.43,477.5,3279600,477.5,466.1375,18.191498846,484.328998846,447.946001154,0.6246049375
2010,7,20,461.03,482.99,460.6,481.59,4054500,481.59,466.575,18.5802103268,485.1552103268,447.9947896732,0.8081178704
2010,7,19,461.01,469.65,457.52,466.18,4550300,466.18,466.9235,18.938572523,485.862072523,447.984927477,-0.0392585027
2010,7,16,469.12,470.56,459.52,459.61,7824800,459.61,468.616,20.3300626245,488.9460626245,448.2859373755,-0.4429892896
2010,7,15,491.73,494.7,482.68,494.02,4858200,494.02,470.6395,21.3737439705,492.0132439705,449.2657560295,1.0938888401
2010,7,14,489.88,493.83,486.46,491.34,3118000,491.34,471.002,21.8473812956,492.8493812956,449.1546187044,0.9309124844
2010,7,13,482.25,492.99,480.28,489.2,3976300,489.2,471.3345,22.2206164288,493.5551164288,449.1138835712,0.804005598
2010,7,12,472.37,479.44,471.08,475.83,3334400,475.83,471.034,22.0058973914,493.0398973914,449.0281026086,0.2179415779
2010,7,9,471.96,473.26,462.78,467.49,4331500,467.49,471.6675,22.3311959929,493.9986959929,449.3363040071,-0.1870701418
2010,7,8,453.55,457.33,449.66,456.56,2668900,456.56,472.6435,22.5643562132,495.2078562132,450.0791437868,-0.7127834647
2010,7,7,438.31,451.29,435.38,450.2,3129700,450.2,473.5165,22.244841454,495.7613414541,451.271658546,-1.0481755983
2010,7,6,444,447.67,433.63,436.07,2560100,436.07,475.2455,21.6737106033,496.9192106033,453.5717893967,-1.8075123691
2010,7,2,441.62,442.28,436,436.55,1936000,436.55,477.718,19.700154047,497.418154047,458.017845953,-2.089729852
2010,7,1,445.29,448.4,433.63,439.49,3513600,439.49,480.8265,17.6618078216,498.4883078216,463.1646921784,-2.3404455771
2010,6,30,454.96,457.83,444.72,444.95,3603200,444.95,484.132,15.5822826515,499.7142826515,468.5497173485,-2.5145224789
2010,6,29,463.44,464.55,451.12,454.26,3502100,454.26,486.553,12.6620648104,499.2150648104,473.8909351896,-2.5503739306
2010,6,28,472.59,477.55,469.01,472.08,1762300,472.08,487.9585,10.2119147516,498.1704147516,477.7465852484,-1.5548993882
2010,6,25,477.06,477.65,470.56,472.68,2245200,472.68,488.636,9.5297204907,498.1657204907,479.1062795093,-1.6743408178
2010,6,24,479.66,482.75,473.26,475.1,1893600,475.1,489.525,8.7612258815,498.2862258815,480.7637741185,-1.6464590909
2010,6,23,486.89,486.89,478.16,482.05,2029100,482.05,489.5435,8.7294964435,498.2729964435,480.8140035565,-0.8584114844
2010,6,22,489.9,496.6,485.73,486.25,2219700,486.25,489.2945,9.0206596065,498.3151596065,480.2738403935,-0.3375030356
2010,6,21,499.9,500.97,484.89,488.56,2983500,488.56,488.84,9.4030213509,498.2430213509,479.4369786491,-0.0297776629
2010,6,18,502.51,503.47,498.13,500.03,2872900,500.03,488.0145,10.1258296476,498.1403296476,477.8886703524,1.1866188172
2010,6,17,503.45,505.87,496.69,500.08,1977300,500.08,486.7635,10.1087790272,496.8722790272,476.6547209728,1.3173203177
2010,6,16,496.17,504,496.11,501.27,2289300,501.27,486.481,9.7910022604,496.2720022604,476.6899977396,1.5104684492
2010,6,15,483.08,500.4,482.18,497.99,4259600,497.99,486.336,9.5796497024,495.9156497024,476.7563502976,1.2165371764
2010,6,14,494.48,494.5,483.19,483.19,2040400,483.19,486.835,10.4399493344,497.2749493344,476.3950506656,-0.3491396254
2010,6,11,482.5,488.71,481.62,488.5,1781700,488.5,488.052,11.3699361661,499.4219361661,476.6820638339,0.0394021561
2010,6,10,480.37,488.5,475.84,487.01,2577900,487.01,489.171,12.464913241,501.635913241,476.706086759,-0.1733666299
2010,6,9,487.22,488.88,472,474.02,2729000,474.02,490.09,12.964733541,503.054733541,477.125266459,-1.2395164119
2010,6,8,487.85,488.84,477.54,484.78,2685100,484.78,491.8415,13.0454340772,504.8869340772,478.7960659228,-0.5413005009
2010,6,7,499.06,500.91,483.15,485.52,3632700,485.52,493.685,14.5171327095,508.2021327095,479.1678672905,-0.5624388895
2010,6,4,499.72,509.25,496.7,498.72,3920300,498.72,494.066,14.3910101324,508.4570101324,479.6749898676,0.3233963396
2010,6,3,495.11,508,494.7,505.6,3650700,505.6,494.0635,14.3901634075,508.4536634075,479.6733365925,0.8016934675
2010,6,2,486.68,493.87,481.46,493.37,2540800,493.37,494.2715,14.5943090116,508.8658090116,479.6771909884,-0.0617706532
2010,6,1,480.43,491.06,480.12,482.37,2666800,482.37,494.9215,14.8394819299,509.7609819299,480.0820180701,-0.8458179375
2010,5,28,492.74,493.45,483,485.63,2894800,485.63,497.333,16.5165034212,513.8495034212,480.8164965788,-0.7085640163
2010,5,27,484.95,492.31,481.05,490.46,2809100,490.46,499.3365,17.4273666444,516.7638666444,481.9091333556,-0.5093425864
2010,5,26,482.07,489.76,475,475.47,3475600,475.47,501.4135,18.7397445006,520.1532445006,482.6737554994,-1.3844105505
2010,5,25,468.15,477.45,464.01,477.07,3017400,477.07,504.0995,18.675285237,522.774785237,485.424214763,-1.4473406782
2010,5,24,480.73,489.79,476.8,477.16,4345600,477.16,506.699,18.3300787893,525.0290787893,488.3689212107,-1.611504257
2010,5,21,469.06,485,464.4,472.05,9690800,472.05,509.423,17.748152491,527.171152491,491.674847509,-2.1057403028
2010,5,20,485.07,485.58,473.8,475.01,4913300,475.01,513.07,17.1482692084,530.2182692084,495.9217307916,-2.2194659728
2010,5,19,496.26,499.44,487.74,494.43,3445700,494.43,516.6725,16.2778441205,532.9503441205,500.3946558795,-1.366427878
2010,5,18,510,510.97,497.07,498.37,2825500,498.37,519.666,17.4360109513,537.1020109513,502.2299890487,-1.2213802836
2010,5,17,506.78,508.36,498.35,507.97,2793800,507.97,522.4995,18.3726067471,540.8721067471,504.1268932529,-0.7908240894
2010,5,14,509.77,510.99,496.25,507.53,4116000,507.53,524.606,19.0227499257,543.6287499257,505.5832500743,-0.8976620135
2010,5,13,516.5,522,510.37,510.88,3325800,510.88,526.737,19.392779747,546.129779747,507.344220253,-0.8176754548
2010,5,12,512.04,512.04,502,505.39,3851800,505.39,530.958,24.3209049347,555.2789049347,506.6370950653,-1.051276672
2010,5,11,515.67,519.88,508.22,509.05,3322600,509.05,535.1385,26.7584137825,561.8969137825,508.3800862175,-0.9749643687
2010,5,10,513.97,522.82,512.6,521.65,4128000,521.65,539.0245,28.3654937658,567.3899937658,510.6590062342,-0.6125223888
2010,5,7,499.97,505.32,481.33,493.14,5089000,493.14,541.5785,29.0110257216,570.5895257216,512.5674742784,-1.6696583039
2010,5,6,508.75,517.52,460,498.67,5000100,498.67,545.2325,27.130322495,572.362822495,518.102177505,-1.7162530968
2010,5,5,500.98,515.72,500.47,509.76,4582200,509.76,548.6735,25.2102254265,573.8837254265,523.4632745735,-1.5435601761
2010,5,4,526.52,526.74,504.21,506.37,6076300,506.37,551.3625,23.6617521429,575.0242521429,527.7007478571,-1.9014864042
2010,5,3,526.5,532.92,525.08,530.6,1857800,530.6,554.455,21.406185653,575.861185653,533.048814347,-1.1143975105
2010,4,30,531.13,537.68,525.44,525.7,2435400,525.7,556.4755,20.9380407958,577.4135407958,535.5374592042,-1.4698366624
2010,4,29,533.37,536.5,526.67,532,3058900,532,558.6305,19.7903630123,578.4208630123,538.8401369877,-1.3456296877
2010,4,28,532.1,534.83,521.03,529.19,3406100,529.19,560.3865,18.8382704746,579.2247704746,541.5482295254,-1.656017204
2010,4,27,528.95,538.33,527.23,529.06,3844700,529.06,562.2625,17.3798215953,579.6423215953,544.8826784047,-1.9104051108
2010,4,26,544.97,544.99,529.21,531.64,4368800,531.64,563.932,15.5275482187,579.4595482187,548.4044517813,-2.0796586522
2010,4,23,547.25,549.32,542.27,544.99,2089400,544.99,565.4845,13.5560328287,579.0405328287,551.9284671713,-1.5118361145
2010,4,22,552,552.5,543.35,547.06,3280700,547.06,566.379,12.6954421577,579.0744421577,553.6835578423,-1.5217272278
2010,4,21,556.46,560.25,552.16,554.3,2391500,554.3,566.8925,12.0649509236,578.9574509236,554.8275490764,-1.043725754
2010,4,20,554.17,559.66,551.06,555.04,2977400,555.04,566.6275,12.4093847657,579.0368847657,554.2181152343,-0.9337690964
2010,4,19,548.75,553.99,545,550.1,3894000,550.1,566.7505,12.3001974631,579.0506974631,554.4503025369,-1.3536774552
2010,4,16,563,568.81,549.63,550.15,12235500,550.15,567.2455,11.7831992238,579.0286992238,555.4623007762,-1.4508368801
2010,4,15,592.17,597.84,588.29,595.3,6761800,595.3,568.058,11.0817239776,579.1397239776,556.9762760224,2.4582817669
2010,4,14,590.06,592.34,584.01,589,3402700,589,566.571,9.0413598768,575.6123598768,557.5296401232,2.4807109003
2010,4,13,572.53,588.88,571.13,586.77,3912300,586.77,565.381,7.340139035,572.721139035,558.040860965,2.9139775007
2010,4,12,567.35,574,566.22,572.73,2352400,572.73,564.2015,5.3469413539,569.5484413539,558.8545586461,1.59502404
2010,4,9,567.49,568.77,564,566.22,2056600,566.22,564.542,6.0845850094,570.6265850094,558.4574149906,0.2757788736
2010,4,8,563.32,569.85,560.05,567.49,1947500,567.49,565.288,7.1265586292,572.4145586292,558.1614413708,0.3089850396
2010,4,7,567.3,568.75,561.86,563.54,2581000,563.54,565.736,7.5418002877,573.2778002877,558.1941997123,-0.2911771615
